ID	Symbols	Sites	Feature	Effect	HRD3Avs2A_2A	HRD3Avs2A_3A
MBD2-G	MBD2		G		-0.208492579865825	0.208492579865825
PHLDB2-R	PHLDB2		R		0.0117147286040186	-0.0117147286040181
CHMP4C-R	CHMP4C		R		0.6127243954306689	-0.612724395430666
TRAJ20-R	TRAJ20		R		-0.328203790304845	0.328203790304846
PTK2B-P-S375	PTK2B	S375	P		-0.8611570246635891	0.861157024663588
ARHGEF1-P-S10	ARHGEF1	S10	P		0.9742211241264672	-0.974221124126468
KSR1-P-S334	KSR1	S334	P		0.5110227153390511	-0.511022715339052
BRD1-P-S934	BRD1	S934	P		-0.529178717550163	0.529178717550164
OSBPL3-R	OSBPL3		R		0.6107733622937421	-0.6107733622937459
MED28-R	MED28		R		-0.376201721422838	0.3762017214228471
PTMS-P-S5	PTMS	S5	P		-0.997007089757387	0.997007089757387
FBXO28-G	FBXO28		G		-0.501528714139168	0.501528714139168
NGFR-P-T293	NGFR	T293	P		0.8541848085970759	-0.854184808597077
FBXO21-G	FBXO21		G		-0.148807178653611	0.148807178653612
FBXO22-G	FBXO22		G		-0.842590040685352	0.8425900406853529
TFAP2C-R	TFAP2C		R		-0.988257489370202	0.988257489370203
MISP-R	MISP		R		0.642440255795754	-0.642440255795756
HMGXB4-P-S497	HMGXB4	S497	P		0.9607768234048149	-0.9607768234048149
FN1-P-S2432	FN1	S2432	P		-0.834533509714687	0.834533509714686
SNRNP27-R	SNRNP27		R		-0.928110870603425	0.928110870603425
GRXCR1-R	GRXCR1		R		-0.995747876754234	0.99574787675423
C12orf45-P-S178	C12orf45	S178	P		-0.934677253240551	0.934677253240551
FBXO17-G	FBXO17		G		0.901382280891516	-0.9013822808915172
ZC3H4-P-S1269	ZC3H4	S1269	P		0.925641226326882	-0.925641226326882
FBXO11-G	FBXO11		G		-0.541146262573333	0.541146262573333
CNGB3-R	CNGB3		R		0.93381706154705	-0.933817061547044
MCM3-P-S672	MCM3	S672	P		-0.474254023989051	0.474254023989052
GRB7-R	GRB7		R		0.838017386192381	-0.8380173861923801
MINPP1-G	MINPP1		G		0.2635233563167989	-0.2635233563167989
SYNRG-P-S720	SYNRG	S720	P		-0.980528539076256	0.980528539076256
ABLIM1-P-S556	ABLIM1	S556	P		-0.690431807665043	0.690431807665043
SPINDOC-P-S148	SPINDOC	S148	P		0.956549771581571	-0.956549771581571
SHC1-P-S454	SHC1	S454	P		-0.9758391677684052	0.9758391677684052
ATP13A1-P-S899	ATP13A1	S899	P		-0.380766630530077	0.380766630530075
KL-R	KL		R		0.385866063027209	-0.385866063027208
TXNRD3-R	TXNRD3		R		0.948029719958125	-0.948029719958128
FBXO45-G	FBXO45		G		-0.25400912029489	0.25400912029489
RASA2-R	RASA2		R		-0.434883157709205	0.434883157709198
FBXO44-G	FBXO44		G		0.7878463642155279	-0.7878463642155279
PRPF31-R	PRPF31		R		0.446836429248089	-0.4468364292480879
ZNF569-R	ZNF569		R		0.5844447638214859	-0.5844447638214899
FRS3-R	FRS3		R		0.904291180536615	-0.9042911805366172
SNX30-P-S16	SNX30	S16	P		-0.913785487186094	0.913785487186094
MBIP-G	MBIP		G		-0.1225505083447839	0.1225505083447839
PAPOLG-R	PAPOLG		R		-0.489836842648657	0.489836842648651
AUTS2-P-S941	AUTS2	S941	P		-0.6732115517862589	0.6732115517862589
ARID3A-P-S77	ARID3A	S77	P		-0.9475578925205692	0.9475578925205692
FBXO38-G	FBXO38		G		0.7245180783535041	-0.7245180783535041
KIF1C-R	KIF1C		R		0.795303173817582	-0.7953031738175601
HNRNPA3-P-S358	HNRNPA3	S358	P		-0.939809167188107	0.939809167188108
FAM160B1-R	FAM160B1		R		0.0978935273082164	-0.0978935273082154
CFAP97D1-R	CFAP97D1		R		-0.6276704897383379	0.6276704897383371
FBXO33-G	FBXO33		G		-0.7037175723324021	0.7037175723324008
FBXO30-G	FBXO30		G		0.432026282738082	-0.432026282738082
ACBD5-R	ACBD5		R		-0.283096820348985	0.283096820348985
EPS15-P-S851	EPS15	S851	P		-0.850828228814825	0.8508282288148241
LARP1-R	LARP1		R		0.7063620685961509	-0.7063620685961101
SRGN-R	SRGN		R		0.840231894733143	-0.8402318947331509
OR1A2-R	OR1A2		R		-0.7463048884535279	0.746304888453519
UBL5-R	UBL5		R		-0.546521025464572	0.5465210254645729
ARAP1-R	ARAP1		R		0.5734655403163841	-0.573465540316386
NOC2L-P-S672-S673	NOC2L	S672|S673	P		0.9817151984706448	-0.9817151984706448
DMTN-P-S333	DMTN	S333	P		0.945722764270126	-0.945722764270124
TNRC6A-R	TNRC6A		R		0.814138940206123	-0.8141389402061421
MED8-P-S82	MED8	S82	P		0.982023621830345	-0.982023621830344
SSBP2-P-S329	SSBP2	S329	P		0.9195548593186772	-0.9195548593186772
PLEKHA6-P-S336	PLEKHA6	S336	P		-0.920957417493087	0.920957417493088
MBL2-G	MBL2		G		0.203285210716983	-0.203285210716984
NUP188-R	NUP188		R		0.8697343029387049	-0.869734302938707
DOCK9-P-S1288	DOCK9	S1288	P		-0.9587058632203548	0.9587058632203548
VPS13C-G	VPS13C		G		0.0545582340133903	-0.0545582340133905
DHPS-G	DHPS		G		-0.0558815015723	0.0558815015723005
VPS13D-G	VPS13D		G		-0.957556898744642	0.957556898744645
VPS13A-G	VPS13A		G		-0.321219623405183	0.321219623405183
ZFP91-R	ZFP91		R		-0.474386518172488	0.474386518172476
VPS13B-G	VPS13B		G		0.508466359182106	-0.508466359182105
BCAR1-R	BCAR1		R		0.0743337693824191	-0.0743337693824173
COBL-P-S574	COBL	S574	P		-0.829696959883229	0.8296969598832281
ISCU-P-S14	ISCU	S14	P		0.988380747635393	-0.988380747635393
USP42-P-S856	USP42	S856	P		-0.891925537519048	0.891925537519048
PAK2-P-S58	PAK2	S58	P		0.219001662495948	-0.219001662495948
GOLGA6L9-R	GOLGA6L9		R		0.97102929528217	-0.971029295282168
C2orf78-R	C2orf78		R		-0.950056203630848	0.950056203630846
KRTAP10-2-R	KRTAP10-2		R		-0.847224483149935	0.8472244831499369
DCBLD1-R	DCBLD1		R		0.0070423301233882	-0.0070423301233883
CRELD2-P-S70	CRELD2	S70	P		0.791236190354342	-0.791236190354342
WBP4-P-S277	WBP4	S277	P		0.7558526000136291	-0.7558526000136279
VSIG2-R	VSIG2		R		-0.734697880353208	0.734697880353219
PLEKHG4B-P-S1085	PLEKHG4B	S1085	P		0.912979639764986	-0.912979639764986
C19orf54-R	C19orf54		R		0.6321736339983111	-0.632173633998321
GORASP2-P-T222	GORASP2	T222	P		0.27964510776337	-0.279645107763371
MFSD13A-R	MFSD13A		R		-0.703956682637931	0.7039566826379301
DDX23-R	DDX23		R		-0.438008356409992	0.43800835641
NIBAN1-P-S641	NIBAN1	S641	P		-0.9135167778521528	0.9135167778521528
PLAAT3-R	PLAAT3		R		-0.6731478501287879	0.673147850128782
ARHGEF18-P-S1103	ARHGEF18	S1103	P		0.914424597133541	-0.914424597133541
ARHGEF1-P-S333	ARHGEF1	S333	P		-0.9977507503768608	0.9977507503768608
ARRDC2-R	ARRDC2		R		-0.9072601946236328	0.9072601946236322
SLCO2A1-R	SLCO2A1		R		0.718150489400885	-0.7181504894008809
ZNF687-P-S253	ZNF687	S253	P		0.796416425803422	-0.7964164258034209
GPKOW-G	GPKOW		G		-0.0013170055829364	0.0013170055829364
CDK17-P-S140	CDK17	S140	P		-0.936392067852885	0.936392067852885
GAK-P-S829	GAK	S829	P		0.902286622862735	-0.902286622862736
KIAA0930-R	KIAA0930		R		0.3558955406878739	-0.355895540687885
GIT2-R	GIT2		R		0.283254009464234	-0.2832540094642349
DOCK4-P-S1709	DOCK4	S1709	P		0.8795369743572009	-0.8795369743572009
SYNPO2-P-S243	SYNPO2	S243	P		0.8221826669211372	-0.8221826669211378
EDC4-P-T727	EDC4	T727	P		-0.982960838688874	0.982960838688874
ANAPC1-P-S202	ANAPC1	S202	P		-0.757932223649869	0.75793222364987
HECTD4-P-S1395	HECTD4	S1395	P		-0.9743564573034292	0.97435645730343
GIMAP2-R	GIMAP2		R		0.386465845287663	-0.3864658452876671
LRRIQ3-R	LRRIQ3		R		-0.1043955179165	0.1043955179165
AAK1-P-S21	AAK1	S21	P		-0.731778554532979	0.731778554532979
ACTN4-P-S423	ACTN4	S423	P		0.555888784840295	-0.555888784840296
PSMD3-R	PSMD3		R		0.327661637689659	-0.327661637689653
PEX26-G	PEX26		G		0.6910988576512359	-0.6910988576512359
UVSSA-R	UVSSA		R		0.904848015610563	-0.904848015610566
IGHV1-46-R	IGHV1-46		R		0.2286462856686449	-0.228646285668648
NSD2-P-S437	NSD2	S437	P		0.9368488330185628	-0.936848833018564
ZNF471-R	ZNF471		R		0.936742829749398	-0.936742829749396
CAMK2G-P-T397	CAMK2G	T397	P		0.994655589506771	-0.994655589506771
DARS1-R	DARS1		R		-0.4013068016430089	0.401306801642999
LIMS1-R	LIMS1		R		0.0497055400275417	-0.0497055400275405
TMPO-P-S224	TMPO	S224	P		0.6929899752062141	-0.6929899752062141
CCDC102B-R	CCDC102B		R		0.0391357886665229	-0.0391357886665219
CRISPLD2-G	CRISPLD2		G		1.28985518309134E-6	-1.28985518309136E-6
RBBP8-P-S568	RBBP8	S568	P		-0.858655335965376	0.858655335965376
ACSM5-R	ACSM5		R		0.148773041413268	-0.148773041413268
SBDS-R	SBDS		R		-0.7669643436555942	0.7669643436555942
BAG6-P-S964-S973	BAG6	S964|S973	P		-0.692865226661535	0.692865226661535
DNASE2-R	DNASE2		R		-0.672933067292258	0.672933067292278
ZNF358-R	ZNF358		R		0.9587189331201352	-0.958718933120133
DHX8-G	DHX8		G		0.652285193499014	-0.652285193499012
PTGDR2-R	PTGDR2		R		0.655941669057668	-0.6559416690576629
DHX9-G	DHX9		G		-0.3376374019040769	0.3376374019040789
DOCK10-P-S1257	DOCK10	S1257	P		0.8319259357228659	-0.8319259357228671
PDPK1-P-S241	PDPK1	S241	P		-0.631695053110292	0.631695053110292
SNX3-R	SNX3		R		0.991492361201184	-0.991492361201182
SULT2B1-P-S350	SULT2B1	S350	P		-0.506882668135061	0.506882668135061
TLN1-P-Y70	TLN1	Y70	P		0.161007884666858	-0.161007884666858
GTPBP3-R	GTPBP3		R		-0.2810832678033089	0.281083267803308
ARHGAP39-P-S173	ARHGAP39	S173	P		-0.6799377866521961	0.6799377866521961
MIDEAS-P-S923	MIDEAS	S923	P		0.986636114080536	-0.986636114080537
HMGA1-P-T53	HMGA1	T53	P		0.5388642837119221	-0.5388642837119211
NCKAP5L-P-S477	NCKAP5L	S477	P		-0.233269174943886	0.233269174943886
COBLL1-P-S985	COBLL1	S985	P		-0.559712040752188	0.559712040752188
SHKBP1-P-S647	SHKBP1	S647	P		0.818043089833558	-0.818043089833558
SMIM12-R	SMIM12		R		-0.497059352472338	0.4970593524723429
KRT17-P-S32	KRT17	S32	P		0.775313687708146	-0.775313687708146
TMED4-R	TMED4		R		-0.116933631915381	0.116933631915376
TMEM134-P-S95	TMEM134	S95	P		-0.902115856029008	0.902115856029008
PAPOLA-P-S738	PAPOLA	S738	P		0.818677094710454	-0.8186770947104549
PRRC2B-P-S1489	PRRC2B	S1489	P		-0.60282699349176	0.60282699349176
TMPRSS7-R	TMPRSS7		R		-0.416806577512944	0.416806577512942
COPB1-P-S644	COPB1	S644	P		0.6120561734187699	-0.6120561734187699
GOLGA1-P-S758	GOLGA1	S758	P		0.983530827497307	-0.983530827497307
SHTN1-P-S494	SHTN1	S494	P		0.844790877389611	-0.844790877389612
KMT2D-P-T1865	KMT2D	T1865	P		-0.358568878519979	0.358568878519978
AKAP13-P-T815	AKAP13	T815	P		0.763574441379835	-0.7635744413798341
FTSJ3-P-S356	FTSJ3	S356	P		-0.7790544221050791	0.7790544221050779
TMEM159-R	TMEM159		R		0.965409456086254	-0.965409456086265
ZNF282-R	ZNF282		R		-0.193603702474398	0.1936037024743989
TMEM107-R	TMEM107		R		-0.0202494673027523	0.0202494673027525
SPANXN2-R	SPANXN2		R		-0.8248687722873549	0.824868772287356
NCBP2AS2-R	NCBP2AS2		R		-0.612019619738209	0.6120196197382061
HSPBP1-R	HSPBP1		R		0.940863474672046	-0.940863474672048
IFT43-P-S78	IFT43	S78	P		0.8823331268945029	-0.882333126894502
SEC61G-R	SEC61G		R		0.9628504079368748	-0.96285040793687
CDK18-P-S14	CDK18	S14	P		-0.913354648877738	0.913354648877738
CTR9-P-T975	CTR9	T975	P		0.717184610895256	-0.717184610895256
ZHX2-G	ZHX2		G		-0.383479917884198	0.3834799178841989
ZHX3-G	ZHX3		G		0.670216365418634	-0.670216365418634
CACYBP-G	CACYBP		G		-0.0280327542727966	0.0280327542727968
FAM229B-R	FAM229B		R		0.577521964089827	-0.577521964089818
ZHX1-G	ZHX1		G		0.7884095191750871	-0.7884095191750871
KCNMB3-R	KCNMB3		R		0.932206189068675	-0.93220618906867
UBXN2B-P-T59	UBXN2B	T59	P		-0.960619559242332	0.9606195592423308
IFNA14-R	IFNA14		R		-0.909850665132715	0.909850665132712
BTF3-R	BTF3		R		-0.0346904130600913	0.0346904130601071
NCOR2-P-T946	NCOR2	T946	P		0.6778833998064521	-0.6778833998064511
MAP3K11-P-S548	MAP3K11	S548	P		-0.9399718124561078	0.9399718124561092
ZBTB12-R	ZBTB12		R		-0.215250917485867	0.215250917485866
STAT3-P-S727	STAT3	S727	P		-0.95703317740482	0.957033177404821
SUZ12-R	SUZ12		R		-0.0951694375998513	0.0951694375998513
RAB1A-P-T75	RAB1A	T75	P		0.438294633309294	-0.4382946333092949
RBM12B-P-S829	RBM12B	S829	P		0.8903428225436071	-0.8903428225436071
FAM171A1-P-S544	FAM171A1	S544	P		-0.978340657951403	0.978340657951402
PEX16-G	PEX16		G		-0.7721569461809871	0.7721569461809871
PKP4-P-S231	PKP4	S231	P		0.869521925950803	-0.869521925950803
PEX19-G	PEX19		G		-0.0624926995501969	0.0624926995501975
VWA1-P-S92	VWA1	S92	P		0.92745894867312	-0.92745894867312
PLEC-P-S21	PLEC	S21	P		0.3392925962653079	-0.339292596265307
LMNA-P-S599	LMNA	S599	P		-0.960855384380941	0.960855384380941
PEX12-G	PEX12		G		0.949396288085598	-0.9493962880855972
MID2-P-S116	MID2	S116	P		0.6747111127262201	-0.674711112726223
PEX13-G	PEX13		G		0.8105478032932081	-0.8105478032932081
PEX14-G	PEX14		G		-0.44416599927873	0.44416599927873
OR4D2-R	OR4D2		R		-0.910263015645481	0.910263015645478
DIP2A-P-S162	DIP2A	S162	P		0.862235823427497	-0.862235823427499
INPPL1-G	INPPL1		G		-0.9587530063742	0.9587530063742
IGF1R-G	IGF1R		G		-0.0444249894380583	0.0444249894380585
SALL1-R	SALL1		R		0.278918006505491	-0.27891800650549
BIN1-P-T307	BIN1	T307	P		0.576013272372261	-0.576013272372261
HDAC7-P-S405	HDAC7	S405	P		-0.622782196891047	0.622782196891048
TRMT61A-R	TRMT61A		R		-0.3375843720559989	0.3375843720559961
ZC3H13-P-S643	ZC3H13	S643	P		-0.459879084183458	0.459879084183458
PPIP5K1-G	PPIP5K1		G		0.9712551606268108	-0.971255160626812
PPIP5K2-G	PPIP5K2		G		0.717783857622048	-0.717783857622048
MED17-R	MED17		R		-0.57222806693181	0.572228066931832
SLC9A1-P-S605	SLC9A1	S605	P		0.51130477315838	-0.5113047731583811
MAP4K4-P-S842	MAP4K4	S842	P		0.7766157086276031	-0.776615708627605
AMHR2-R	AMHR2		R		-0.2944472912978039	0.294447291297806
AHNAK-P-S793	AHNAK	S793	P		0.554455442958462	-0.554455442958462
CES2-R	CES2		R		-0.995786919459458	0.995786919459456
TRAJ21-R	TRAJ21		R		0.874333395270098	-0.874333395270095
ZNF611-R	ZNF611		R		-0.7215812845804559	0.7215812845804591
ZC3H18-R	ZC3H18		R		0.97144147247654	-0.9714414724765308
KTN1-P-S1084	KTN1	S1084	P		-0.924127670071393	0.924127670071393
MICAL3-P-S1649	MICAL3	S1649	P		-0.274476800698214	0.274476800698213
SEMA3C-R	SEMA3C		R		0.0033044676962436	-0.0033044676962438
RAP1GAP-P-T522	RAP1GAP	T522	P		-0.965222291927256	0.965222291927256
NPIPB12-R	NPIPB12		R		0.871905017024025	-0.871905017024028
HTRA3-G	HTRA3		G		3.3440172242492E-9	-3.34401722424926E-9
HTRA1-G	HTRA1		G		3.8498763975587E-5	-3.84987639755868E-5
HTRA2-G	HTRA2		G		-0.002498375265095	0.002498375265095
OR5M11-R	OR5M11		R		0.8924635403086801	-0.8924635403086759
SYVN1-P-S613	SYVN1	S613	P		0.982198054440978	-0.982198054440978
SART3-P-S650	SART3	S650	P		-0.940047621115083	0.940047621115083
IGSF9-P-S813	IGSF9	S813	P		-0.643382791239221	0.643382791239221
GTF2I-P-S633	GTF2I	S633	P		-0.549361792089074	0.549361792089074
ICE1-P-S1692	ICE1	S1692	P		-0.247273640285626	0.2472736402856269
PLEKHA2-P-S349	PLEKHA2	S349	P		-0.9453756598240948	0.9453756598240948
ATG3-R	ATG3		R		-0.303851627358215	0.303851627358204
CHCHD10-G	CHCHD10		G		-0.058290750187347	0.058290750187347
NLRC3-R	NLRC3		R		0.0444290803253395	-0.0444290803253397
PIK3R4-P-S853	PIK3R4	S853	P		0.6754640976846931	-0.675464097684692
KCNJ2-R	KCNJ2		R		0.5131081625759241	-0.513108162575925
IGF2R-G	IGF2R		G		0.0018512261399061	-0.0018512261399062
HBB-P-S90	HBB	S90	P		-0.887649289671364	0.887649289671362
NUP153-P-T388	NUP153	T388	P		-0.908935671933413	0.908935671933413
OR1S1-R	OR1S1		R		-0.651779040889665	0.651779040889665
LPIN3-P-S225	LPIN3	S225	P		-0.664284718548317	0.664284718548317
LRRTM2-R	LRRTM2		R		0.980288094573903	-0.980288094573904
ZCCHC3-P-S363	ZCCHC3	S363	P		0.866119204109247	-0.866119204109247
MFSD5-R	MFSD5		R		-0.635379015476436	0.635379015476436
MAP1B-P-T2034	MAP1B	T2034	P		0.920418783561194	-0.920418783561195
TRIM24-P-S744	TRIM24	S744	P		-0.9135167778521528	0.9135167778521528
FCHSD2-P-S693	FCHSD2	S693	P		-0.7149534623138849	0.7149534623138849
SSBP3-P-S381	SSBP3	S381	P		-0.82601701731691	0.826017017316909
YIPF4-R	YIPF4		R		-0.482864961615224	0.482864961615212
OR10AD1-R	OR10AD1		R		-0.917106587561828	0.91710658756183
IRF2BPL-P-S639	IRF2BPL	S639	P		-0.9019267630228408	0.9019267630228408
TMEM189-UBE2V1-G	TMEM189-UBE2V1		G		0.410554980263088	-0.410554980263088
PARP1-P-T368	PARP1	T368	P		-0.620240238368522	0.620240238368522
TNNI3K-R	TNNI3K		R		0.6336641602757211	-0.633664160275719
GON4L-P-S346	GON4L	S346	P		-0.999613071760904	0.9996130717609052
ADAT1-R	ADAT1		R		0.7124366444257779	-0.7124366444257758
LLPH-R	LLPH		R		-0.779185906699911	0.779185906699912
CTTNBP2NL-R	CTTNBP2NL		R		0.243278876988014	-0.243278876988012
NCOR1-P-S1234	NCOR1	S1234	P		-0.7790544221050791	0.7790544221050779
POLM-R	POLM		R		0.612019619738209	-0.6120196197382061
ATG4C-R	ATG4C		R		-0.5768229293194029	0.5768229293194039
GAK-P-S826-S829	GAK	S826|S829	P		-0.515911007397637	0.515911007397638
SMN1-R	SMN1		R		-0.4783080199994461	0.478308019999439
PTPRT-R	PTPRT		R		0.9512214330610328	-0.95122143306103
RIPK1-P-S416	RIPK1	S416	P		0.609851375717662	-0.609851375717661
CENPC-P-S316	CENPC	S316	P		0.600445293552305	-0.600445293552305
TCTA-R	TCTA		R		-0.13479689255833	0.13479689255833
ARFGEF2-P-S218	ARFGEF2	S218	P		0.9575626298826508	-0.9575626298826508
ZC3H13-P-S986-S993	ZC3H13	S986|S993	P		0.553296517984074	-0.5532965179840771
STK26-P-S300	STK26	S300	P		-0.6264976241114151	0.626497624111413
TRPT1-R	TRPT1		R		-0.7362561922662472	0.736256192266249
CLMP-R	CLMP		R		9.966565244186362E-9	-9.9665652441856E-9
CIITA-R	CIITA		R		-0.934691577596778	0.934691577596779
IWS1-P-S720	IWS1	S720	P		-0.871291233122561	0.871291233122561
BCAR1-P-Y249	BCAR1	Y249	P		-0.8140658129670749	0.8140658129670749
CCDC97-P-S257	CCDC97	S257	P		0.686968529290515	-0.6869685292905159
IFNGR1-R	IFNGR1		R		0.236128273507588	-0.236128273507583
SOCS2-R	SOCS2		R		0.100669542901265	-0.100669542901266
PLXNA4-R	PLXNA4		R		0.4184544414480389	-0.418454441448042
KAZN-P-S318	KAZN	S318	P		-0.9519056608333772	0.9519056608333772
BIRC6-P-S490	BIRC6	S490	P		-0.8436304452419169	0.8436304452419159
FBXO38-P-S792	FBXO38	S792	P		-0.702336626937393	0.702336626937393
CNGA2-R	CNGA2		R		0.338814129898547	-0.338814129898547
MRTFA-P-S511	MRTFA	S511	P		0.609858414391849	-0.609858414391849
EXPH5-P-S1733	EXPH5	S1733	P		-0.964586306354409	0.964586306354408
CACNA1D-R	CACNA1D		R		-0.925909503293359	0.92590950329336
GPRC5B-R	GPRC5B		R		-0.437510303296065	0.437510303296051
USH1C-R	USH1C		R		-0.855208456635265	0.855208456635265
HUS1-G	HUS1		G		-0.4411259136786721	0.441125913678673
RPH3AL-R	RPH3AL		R		-0.96829498087458	0.968294980874587
OSBPL8-P-S68	OSBPL8	S68	P		-0.870726641782828	0.870726641782828
MTDH-P-S111	MTDH	S111	P		-0.880101263861276	0.880101263861276
LNPK-R	LNPK		R		-0.656773547287006	0.656773547287008
H1-5-R	H1-5		R		-0.479547815707947	0.479547815707949
ZNF827-R	ZNF827		R		0.0441463318166724	-0.0441463318166726
SUDS3-P-S45-T49	SUDS3	S45|T49	P		-0.8135257217909129	0.8135257217909129
SRFBP1-G	SRFBP1		G		-0.227291680036636	0.227291680036637
SYNPO-P-S840	SYNPO	S840	P		0.99683596699558	-0.99683596699558
THNSL1-R	THNSL1		R		-0.0206906035744974	0.0206906035744976
TMEM126B-R	TMEM126B		R		-0.3395996168716469	0.339599616871643
CDK13-P-S400	CDK13	S400	P		-0.991087944566458	0.991087944566458
TBC1D23-R	TBC1D23		R		-0.612019619738209	0.6120196197382061
TOPBP1-P-S817	TOPBP1	S817	P		0.903360498280448	-0.903360498280448
TNS1-R	TNS1		R		0.5210808724549479	-0.5210808724549449
