ID	Symbols	Sites	Feature	Effect	HRD3Avs2A_3A
CDC5L-P-T355	CDC5L	T355	P		0.7440795520275432
TP53BP1-P-T302	TP53BP1	T302	P		0.8888894600494808
FTO-G	FTO		G		-0.023556872118595223
INO80B-G	INO80B		G		0.8686131336298266
POLR2A-P-S1875-S1882	POLR2A	S1875|S1882	P		-0.8622284028986348
BLM-G	BLM		G		-0.1816726182848829
INO80E-G	INO80E		G		0.8008259300112145
INO80D-G	INO80D		G		-0.5517677396596757
BOD1L1-G	BOD1L1		G		0.05399547085071153
PKMYT1-G	PKMYT1		G		0.4328023233082826
CUL4A-R	CUL4A		R		-0.9399332168339569
TOP2B-P-S1550	TOP2B	S1550	P		0.3714731886363623
INO80E-R	INO80E		R		0.4240910321761996
ERCC6L-R	ERCC6L		R		-0.977121984453409
PRPF19-R	PRPF19		R		0.19427514182815597
RHNO1-R	RHNO1		R		0.999613673239675
CHAF1A-P-S199	CHAF1A	S199	P		-0.8860785970473708
RNASEH2C-R	RNASEH2C		R		0.37986443114815954
TERF2IP-P-S36	TERF2IP	S36	P		0.9245155971458215
HERC2-P-S1577	HERC2	S1577	P		0.943789815097845
SMARCA5-R	SMARCA5		R		-0.6250481104444852
RAD23B-P-T155	RAD23B	T155	P		-0.9601392282449152
RAD51AP1-R	RAD51AP1		R		0.5849606018385228
MNAT1-G	MNAT1		G		-0.72608629249254
XRCC2-R	XRCC2		R		0.2614221410129931
AQR-R	AQR		R		0.5795207338406356
TOP2B-R	TOP2B		R		0.1735019680411283
PRIMPOL-R	PRIMPOL		R		0.9515352452635792
RIF1-P-S782	RIF1	S782	P		-0.9595951632229655
PTEN-G	PTEN		G		-0.30001016649451356
TP53-R	TP53		R		-0.8443696533825986
BOD1L1-P-S800	BOD1L1	S800	P		0.8622284028986348
BAZ1B-R	BAZ1B		R		0.40429193098010086
COPS3-P-S423	COPS3	S423	P		0.7403720705235708
TOP2B-P-S1613	TOP2B	S1613	P		-0.8937054791515471
BCAS2-G	BCAS2		G		0.05263950973758403
TP53BP1-P-S1430	TP53BP1	S1430	P		0.9202237545881776
MDC1-P-S1814	MDC1	S1814	P		-0.9982353614735362
MDC1-P-T1671	MDC1	T1671	P		-0.6110485876317541
POLR2A-P-S1861	POLR2A	S1861	P		0.7440795520275432
ACTR5-G	ACTR5		G		0.9128609261723875
ATRX-G	ATRX		G		0.8727925614084663
ACTR8-G	ACTR8		G		0.1570935111220714
ZGRF1-R	ZGRF1		R		0.9160620481872136
MMS22L-G	MMS22L		G		0.7456112764871301
RRM2B-G	RRM2B		G		-0.169669878514646
NSD2-R	NSD2		R		0.8778382639004355
H2BS1-R	H2BS1		R		0.9661360078976079
REV3L-P-S1967	REV3L	S1967	P		-0.9969002561968561
TOP1-G	TOP1		G		0.18124680874494623
DCTPP1-G	DCTPP1		G		0.059149363221800054
PIAS3-R	PIAS3		R		-0.714103373231736
BAZ1B-P-S189	BAZ1B	S189	P		0.4014986239459038
RIF1-R	RIF1		R		0.40429193098010086
APBB1-P-T709	APBB1	T709	P		-0.3714731886363623
RCHY1-G	RCHY1		G		0.725979430999794
SMARCC1-P-S310	SMARCC1	S310	P		0.4087872206049463
MCM6-P-S271	MCM6	S271	P		0.8622284028986348
TERF2-R	TERF2		R		-0.999613673239675
MCM3-R	MCM3		R		0.20863853618792894
XRCC6-P-T455	XRCC6	T455	P		-0.9300585406031507
DCLRE1C-R	DCLRE1C		R		0.43959040724079407
H2AC14-R	H2AC14		R		-0.2272971512003966
PAXIP1-R	PAXIP1		R		0.10422630813090739
ATRX-P-S25	ATRX	S25	P		-0.7440795520275432
ATMIN-R	ATMIN		R		0.9475778409392167
XAB2-P-S851	XAB2	S851	P		0.9024962522000141
CDC5L-G	CDC5L		G		0.05399547085071153
DUT-R	DUT		R		0.32625833538675963
USP1-P-S327	USP1	S327	P		0.6110485876317541
DTYMK-R	DTYMK		R		0.1563509231296052
XRCC1-P-S461	XRCC1	S461	P		0.3714731886363623
HUS1-R	HUS1		R		0.9155602714798231
TOP2A-P-S4	TOP2A	S4	P		-0.8937054791515471
NUDT5-P-S3	NUDT5	S3	P		0.7440795520275432
TP53BP1-P-S523-S525	TP53BP1	S523|S525	P		0.3714731886363623
APLF-G	APLF		G		0.8686131336298266
NUDT16-R	NUDT16		R		0.10422630813090739
GPS1-P-T479-S483	GPS1	T479|S483	P		0.7343362615700626
TP53BP1-P-S1114	TP53BP1	S1114	P		-0.9436002843653453
FBH1-P-S124	FBH1	S124	P		0.8614032797956047
NUDT1-R	NUDT1		R		0.6978573167061024
PKMYT1-P-S479	PKMYT1	S479	P		-0.8937054791515471
SMARCAL1-G	SMARCAL1		G		0.39180439864087563
TOP2B-P-S1550-S1552	TOP2B	S1550|S1552	P		-0.7465372588495736
NUDT1-G	NUDT1		G		-0.8605142600077199
NUDT5-G	NUDT5		G		0.4840833089404028
ACTB-G	ACTB		G		-0.6191567923524753
UVSSA-R	UVSSA		R		-0.9215402764275241
HERC2-G	HERC2		G		0.7465196338932415
PRKDC-P-S3205	PRKDC	S3205	P		-0.916802114697341
BAZ1B-P-S347	BAZ1B	S347	P		0.7343362615700626
TP53BP1-P-S222	TP53BP1	S222	P		0.8750238038592127
SMARCC1-P-S328	SMARCC1	S328	P		0.9001949723164285
TRIM25-G	TRIM25		G		0.7588317966565499
SETX-P-S1366	SETX	S1366	P		0.4635643518600188
NSD2-P-S437	NSD2	S437	P		-0.937840152365561
HUS1B-R	HUS1B		R		0.6250481104444852
YWHAB-R	YWHAB		R		0.999613673239675
SMARCC1-G	SMARCC1		G		0.4726682783174624
SWSAP1-R	SWSAP1		R		0.22700217038854953
TP53BP1-P-S727	TP53BP1	S727	P		0.8474748552744088
ATRX-P-S1061	ATRX	S1061	P		-0.8701904429700895
XPC-P-S884	XPC	S884	P		0.7440795520275432
RBBP8-P-S568	RBBP8	S568	P		0.8622284028986348
TP53BP1-P-S993	TP53BP1	S993	P		-0.9436002843653453
PRKDC-P-S2612	PRKDC	S2612	P		0.37328589507637994
TP53-G	TP53		G		-0.6820616518125613
TERF2IP-R	TERF2IP		R		-0.8290973520459985
RPA2-R	RPA2		R		0.7960128988272183
PAXX-P-S148-S152	PAXX	S148|S152	P		0.728740484035838
SAMHD1-P-S18	SAMHD1	S18	P		0.9300585406031507
ACTB-P-S52	ACTB	S52	P		-0.7440795520275432
RFC2-R	RFC2		R		0.28161479160867714
BRIP1-G	BRIP1		G		0.2906800706767046
RECQL5-R	RECQL5		R		0.6815122148529982
MRNIP-G	MRNIP		G		0.9335071832370045
FANCD2-R	FANCD2		R		0.7605354140048292
HLTF-G	HLTF		G		0.1570935111220714
KPNA2-P-S62	KPNA2	S62	P		0.7343362615700626
RRM2-P-S20	RRM2	S20	P		0.8622284028986348
YY1-R	YY1		R		0.10422630813090739
GTF2H5-R	GTF2H5		R		0.9181787779427792
USP1-R	USP1		R		0.010672622323672309
SMARCA5-G	SMARCA5		G		0.4505003898777934
PPP4R2-P-S159	PPP4R2	S159	P		-0.8937054791515471
RAD23B-P-S166	RAD23B	S166	P		0.7440795520275432
SMARCA4-G	SMARCA4		G		0.181216828857811
VCP-R	VCP		R		-0.9475778409392167
POLA1-G	POLA1		G		0.9617495688361519
CDC25C-P-S173	CDC25C	S173	P		-0.9948843082085812
COPS7A-R	COPS7A		R		0.6857975218706147
FBH1-G	FBH1		G		0.7324563806296177
APEX1-R	APEX1		R		0.908558422755837
SETX-P-S2668	SETX	S2668	P		0.8231001226031832
CDK2-R	CDK2		R		0.46264259009936004
CETN2-P-S20	CETN2	S20	P		0.6142952558267958
RNF169-P-T391	RNF169	T391	P		0.3714731886363623
UIMC1-G	UIMC1		G		0.016100727546855133
ATRX-P-S1527	ATRX	S1527	P		-0.5269555084256523
UFD1-G	UFD1		G		-0.5739718299966559
CDK4-R	CDK4		R		0.8778382639004355
CHEK1-R	CHEK1		R		0.330277610483159
H2BC5-R	H2BC5		R		0.22700217038854953
RAD1-R	RAD1		R		0.1563509231296052
USP1-P-S313	USP1	S313	P		-0.9598141280859925
YWHAE-R	YWHAE		R		0.330277610483159
POLD4-R	POLD4		R		-0.2272971512003966
TOP2B-P-T1292	TOP2B	T1292	P		0.7775489380879199
MCM8-R	MCM8		R		0.45281899896572403
MSH3-R	MSH3		R		0.531029557160458
PARP4-P-S1349	PARP4	S1349	P		0.6110485876317541
SPRTN-R	SPRTN		R		0.18178434217320347
H2AC20-R	H2AC20		R		0.999613673239675
RAD50-R	RAD50		R		0.2272971512003966
TICRR-P-S923	TICRR	S923	P		0.3714731886363623
ADPRS-P-T64	ADPRS	T64	P		-0.7883487295619603
XRCC1-P-S447	XRCC1	S447	P		0.8622284028986348
PCNA-G	PCNA		G		0.42734024377398666
TOP1-P-S112	TOP1	S112	P		-0.7923282267341482
FBH1-R	FBH1		R		0.6800602306635601
TP53BP1-P-S63	TP53BP1	S63	P		-0.9436002843653453
LRWD1-P-S243	LRWD1	S243	P		0.7933674951221635
RAD52-R	RAD52		R		-0.977121984453409
SLX4-G	SLX4		G		-0.24171735804853361
ERCC6-R	ERCC6		R		0.3608162725948626
MCM3-P-S711-T722	MCM3	S711|T722	P		0.6223857967272226
OGG1-R	OGG1		R		0.10870955004631769
PPIE-R	PPIE		R		0.46128298072239576
PCLAF-P-S72	PCLAF	S72	P		0.6029394715203046
RFC1-P-S156	RFC1	S156	P		-0.8531696886132449
GPS1-P-T479	GPS1	T479	P		-0.8937054791515471
HMCES-P-S160	HMCES	S160	P		0.9881657854738162
CDC7-R	CDC7		R		0.32312760713810473
DNPH1-R	DNPH1		R		0.1563509231296052
ABL1-P-Y185	ABL1	Y185	P		-0.7440795520275432
WEE1-P-T190	WEE1	T190	P		0.8860785970473708
ENDOV-R	ENDOV		R		0.10870955004631769
TYMS-R	TYMS		R		0.1563509231296052
KDM4A-P-S520	KDM4A	S520	P		0.6029394715203046
RAD51AP2-R	RAD51AP2		R		-0.6668784972279772
HMGN1-P-S89	HMGN1	S89	P		0.7698383250499197
APTX-G	APTX		G		0.02243983019358918
PARP3-R	PARP3		R		0.44595850963949346
TCEA1-G	TCEA1		G		0.1814033470160906
RAD1-G	RAD1		G		0.44129538181557254
NUDT15-R	NUDT15		R		0.8290973520459985
H2BC4-R	H2BC4		R		0.46128298072239576
SETMAR-R	SETMAR		R		0.6250481104444852
BOD1L1-P-S1531	BOD1L1	S1531	P		-0.8622284028986348
ASCC2-P-S706	ASCC2	S706	P		0.937840152365561
CDKN2D-R	CDKN2D		R		0.8778382639004355
FIGNL1-R	FIGNL1		R		0.2272971512003966
HERC2-P-S1942	HERC2	S1942	P		0.5327559037636848
MTOR-P-S1261	MTOR	S1261	P		0.9268673344419994
PIAS4-R	PIAS4		R		-0.717372269209547
APLF-R	APLF		R		-0.48278647601252894
TP53BP1-P-T1372	TP53BP1	T1372	P		-0.9982353614735362
RIF1-P-S1422	RIF1	S1422	P		0.5230905749461626
ALKBH5-P-S371-S384	ALKBH5	S371|S384	P		0.5645005048999724
ABL1-P-S16	ABL1	S16	P		-0.9015234150175006
CDK1-R	CDK1		R		0.5149477907600116
GEN1-G	GEN1		G		0.48449229189172766
MCM2-P-S139	MCM2	S139	P		0.8092962874817223
ACTB-P-S33	ACTB	S33	P		-0.8622284028986348
ZGRF1-G	ZGRF1		G		-0.5739718299966559
DSCC1-R	DSCC1		R		0.3254205172675142
RNF169-P-S423	RNF169	S423	P		0.8622284028986348
SLFN11-G	SLFN11		G		-0.17779064278348408
POLG2-G	POLG2		G		0.09037548187119776
PARP1-R	PARP1		R		0.2774238357712967
SMUG1-R	SMUG1		R		0.5870572475572733
PPIE-G	PPIE		G		0.12680107918160058
MCM3-P-S672-T674	MCM3	S672|T674	P		-0.7343362615700626
MDC1-P-S780	MDC1	S780	P		0.7343362615700626
TREX1-P-S167	TREX1	S167	P		0.3714731886363623
GINS4-R	GINS4		R		0.9563996306458147
UBA7-G	UBA7		G		-0.7103802258714672
LIG1-P-S51	LIG1	S51	P		-0.6342706930279933
SETX-P-S1017	SETX	S1017	P		0.8860785970473708
BAP1-R	BAP1		R		0.1893642009689005
CLK2-P-S97	CLK2	S97	P		-0.9015234150175006
CHAF1A-R	CHAF1A		R		0.5377290097102999
PRKDC-R	PRKDC		R		-0.5331433399990338
DYNLL1-R	DYNLL1		R		0.7302473343980905
H2BC14-R	H2BC14		R		0.25493835208954696
SETX-P-S1330	SETX	S1330	P		0.8614032797956047
PARP4-P-S1340	PARP4	S1340	P		-0.6584784405253563
MEN1-P-S548	MEN1	S548	P		0.9601392282449152
MDC1-P-S453-T455	MDC1	S453|T455	P		0.9948843082085812
NABP2-R	NABP2		R		0.2272971512003966
C11orf80-R	C11orf80		R		-0.999613673239675
UBE2I-G	UBE2I		G		0.4334176349368108
UBE2B-G	UBE2B		G		0.19247828440841294
RNF169-R	RNF169		R		-0.9215402764275241
H2AC4-R	H2AC4		R		0.1735019680411283
DONSON-R	DONSON		R		0.8986423029631172
BAZ1B-P-S493	BAZ1B	S493	P		-0.37328589507637994
SMARCA5-P-S755	SMARCA5	S755	P		0.9084715738961758
UBE2A-G	UBE2A		G		0.7057276747097783
HFM1-R	HFM1		R		-0.5737562457258062
MSH6-P-S137	MSH6	S137	P		0.9500245757133653
TEN1-R	TEN1		R		0.9744529893008345
NSMCE2-R	NSMCE2		R		0.4719304401884018
COPS5-P-S284	COPS5	S284	P		-0.9829045200149196
UBE2T-G	UBE2T		G		0.1717495811634808
NABP2-G	NABP2		G		0.1570935111220714
UBE2N-G	UBE2N		G		-0.9498333990364186
CUL4B-P-S193	CUL4B	S193	P		-0.9202237545881776
PRKDC-P-S4026	PRKDC	S4026	P		-0.9245155971458215
RNF111-R	RNF111		R		-0.9907548594827236
SETX-P-S947	SETX	S947	P		0.6142952558267958
NPLOC4-R	NPLOC4		R		0.999613673239675
PMS2-P-S529	PMS2	S529	P		-0.8701904429700895
TRIM25-P-S100	TRIM25	S100	P		-0.6142952558267958
TP53BP1-P-T591	TP53BP1	T591	P		-0.9881657854738162
CHAF1A-P-S772	CHAF1A	S772	P		-0.9900403001063334
ABL1-P-S718	ABL1	S718	P		-0.6142952558267958
AEN-R	AEN		R		-0.9619028556776027
NHEJ1-R	NHEJ1		R		0.7471284008907132
WEE1-R	WEE1		R		0.26527651647696904
PARP1-P-T368	PARP1	T368	P		0.6142952558267958
USP10-P-S365	USP10	S365	P		0.9084715738961758
MDC1-P-T1425	MDC1	T1425	P		-0.6866493019060356
RECQL5-P-S815	RECQL5	S815	P		0.4087872206049463
SPIDR-G	SPIDR		G		0.3913292754466082
MRE11-P-S688-S689	MRE11	S688|S689	P		-0.6776209923906246
INO80C-R	INO80C		R		0.6381007517478715
MDC1-P-S793	MDC1	S793	P		0.2202560933280966
TOP2B-P-S1466	TOP2B	S1466	P		0.5397911729366242
DDX11-R	DDX11		R		0.4871956973316077
POLM-R	POLM		R		-0.6250481104444852
MDC1-P-S168	MDC1	S168	P		-0.9774888945178857
TICRR-P-S1001	TICRR	S1001	P		0.9829045200149196
CENPX-R	CENPX		R		0.197710424317513
BRCC3-R	BRCC3		R		0.1563509231296052
SMARCC1-P-S830	SMARCC1	S830	P		0.8092962874817223
RNF4-G	RNF4		G		0.18124680874494623
TP53BP1-P-S532	TP53BP1	S532	P		-0.5327559037636848
POLD3-G	POLD3		G		0.1385201287632534
POLD4-G	POLD4		G		0.8253527632434262
POLD1-G	POLD1		G		0.48449229189172766
MCMBP-P-S154	MCMBP	S154	P		-0.937840152365561
POLD2-G	POLD2		G		0.17913591567681247
BOD1L1-R	BOD1L1		R		-0.9475778409392167
BOD1L1-P-S538	BOD1L1	S538	P		-0.8105394917175884
ELL-P-S319	ELL	S319	P		0.6029394715203046
RRM1-G	RRM1		G		0.42376902877557887
RRM2-G	RRM2		G		0.7208199821876419
EYA2-G	EYA2		G		0.6261306518825192
EYA3-G	EYA3		G		0.8665001221334567
FANCC-R	FANCC		R		0.5870572475572733
RFC3-R	RFC3		R		0.6250481104444852
EYA4-G	EYA4		G		-0.2988698839116609
POLE4-G	POLE4		G		0.2588449939638356
SMUG1-G	SMUG1		G		0.40049185291006906
XRCC5-P-S175	XRCC5	S175	P		0.6776209923906246
MDC1-P-T1239	MDC1	T1239	P		0.9601392282449152
ERCC3-G	ERCC3		G		-0.8574711399997623
ZNF830-P-S225	ZNF830	S225	P		-0.6402652153955586
ERCC4-G	ERCC4		G		0.9414802079037353
ERCC1-G	ERCC1		G		0.6102999616070908
POLE2-G	POLE2		G		0.6515042923920206
MAPK8-P-T183	MAPK8	T183	P		0.8984277272475666
POLE3-G	POLE3		G		0.05399547085071153
ERCC2-G	ERCC2		G		-0.6243424520664167
RIF1-P-S2465	RIF1	S2465	P		0.9595951632229655
POLD3-P-S307	POLD3	S307	P		0.6110485876317541
ERCC5-G	ERCC5		G		-0.9498333990364186
ERCC6-G	ERCC6		G		-0.9128609261723875
DDB2-P-S24	DDB2	S24	P		0.651664971475409
CDA-G	CDA		G		-0.7701374541178853
NTHL1-P-S71	NTHL1	S71	P		0.5269555084256523
RAD9A-P-S328	RAD9A	S328	P		0.6731835990656345
NSD2-P-S121	NSD2	S121	P		0.7342207885310787
VCP-P-S3	VCP	S3	P		-0.8937054791515471
ERCC6L2-R	ERCC6L2		R		0.7348553695557504
SMC5-G	SMC5		G		0.004807396373987509
SMC6-G	SMC6		G		0.06738185527369159
TP53BP1-P-T1638	TP53BP1	T1638	P		0.9015234150175006
SLX4-P-S1469	SLX4	S1469	P		0.8622284028986348
ACTB-P-S199	ACTB	S199	P		-0.9601392282449152
NFRKB-P-S1303	NFRKB	S1303	P		-0.8105394917175884
ACTR8-P-S132	ACTR8	S132	P		0.8163118740798715
RFC1-P-T506	RFC1	T506	P		0.6142952558267958
FTO-P-S256	FTO	S256	P		0.6319946413887049
RAD51AP1-P-S120	RAD51AP1	S120	P		-0.7343362615700626
POLR2E-R	POLR2E		R		-0.9744529893008345
TOP2B-P-S1375	TOP2B	S1375	P		-0.6584784405253563
TP53BP1-P-S809	TP53BP1	S809	P		0.7343362615700626
DDX11-G	DDX11		G		0.27328367797695774
REV1-G	REV1		G		-0.13908072932277413
HUS1-G	HUS1		G		0.4334176349368108
ORC2-R	ORC2		R		0.3086717040447637
SFR1-R	SFR1		R		0.32067166944112185
REV3L-P-S1724	REV3L	S1724	P		0.937840152365561
TP53BP1-P-T922	TP53BP1	T922	P		0.651664971475409
PRKDC-G	PRKDC		G		0.8061736440608418
NBN-P-S604	NBN	S604	P		-0.9973315989891819
CDK7-R	CDK7		R		0.1735019680411283
XPA-G	XPA		G		0.016077102971390703
TOPBP1-P-S817	TOPBP1	S817	P		-0.9015234150175006
XPC-G	XPC		G		0.181216828857811
REC8-R	REC8		R		0.9563996306458147
NUDT5-P-T7	NUDT5	T7	P		0.6142952558267958
SMARCA5-P-T113	SMARCA5	T113	P		0.9601392282449152
NTHL1-G	NTHL1		G		0.04515846167058404
RMI1-P-S284	RMI1	S284	P		-0.7883487295619603
MCMBP-G	MCMBP		G		0.6890660369030548
TTK-R	TTK		R		0.6864447001373244
TOP2B-P-S1473	TOP2B	S1473	P		-0.8710364444630283
PARP4-P-T101	PARP4	T101	P		-0.8860785970473708
NHEJ1-G	NHEJ1		G		0.046520444491873966
PARP4-P-S1223	PARP4	S1223	P		-0.8092962874817223
BARD1-G	BARD1		G		-0.14176129257140466
PLK1-G	PLK1		G		0.18124680874494623
TIMELESS-P-S1173	TIMELESS	S1173	P		0.5443587649388988
TOP2B-P-S1424	TOP2B	S1424	P		-0.9601392282449152
EYA2-R	EYA2		R		-0.7132993285010575
SMARCA4-P-S1449	SMARCA4	S1449	P		0.9300585406031507
H4C1-R	H4C1		R		-0.732207334872779
